,cusip_id,bond_sym_id,company_symbol,trd_exctn_dt,trd_exctn_tm,trd_rpt_dt,trd_rpt_tm,msg_seq_nb,trc_st,scrty_type_cd,wis_fl,cmsn_trd,entrd_vol_qt,rptd_pr,yld_sign_cd,yld_pt,asof_cd,days_to_sttl_ct,sale_cndtn_cd,sale_cndtn2_cd,rpt_side_cd,buy_cmsn_rt,buy_cpcty_cd,sell_cmsn_rt,sell_cpcty_cd,cntra_mp_id,agu_qsr_id,spcl_trd_fl,trdg_mkt_cd,dissem_fl,orig_msg_seq_nb,bloomberg_identifier,sub_prdct,stlmnt_dt,trd_mod_3,trd_mod_4,rptg_party_type,lckd_in_ind,ats_indicator,pr_trd_dt,first_trade_ctrl_date,first_trade_ctrl_num
3878,00184AAA3,AOL.GA,AOL,2002-07-03,61200.0,2002-07-05,37551.0,2008,T,C,N,N,125000.0,94.713999,+,7.765977,A,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
3879,00184AAA3,AOL.GA,AOL,2002-07-03,61200.0,2002-07-05,37552.0,2010,T,C,N,N,250000.0,94.274,+,7.907833,A,0.0,@,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
3880,00184AAA3,AOL.GA,AOL,2002-07-05,35520.0,2002-07-05,35562.0,1273,T,C,N,N,185000.0,89.0,+,9.675443,,0.0,@,,B,,P,,P,C,,,S1,Y,,,,,,,,,,,,
3881,00184AAA3,AOL.GA,AOL,2002-07-05,44534.0,2002-07-05,44537.0,5287,T,C,N,Y,1000.0,95.386,+,7.841,,0.0,@,,S,,P,0.9,P,C,,,S1,Y,,,,,,,,,,,,
4850,00184AAB1,AOL.GB,AOL,2002-07-05,33713.0,2002-07-05,33715.0,795,T,C,N,N,8000.0,82.0,+,9.861,,0.0,@,,B,,P,,A,C,,,S1,Y,,,,,,,,,,,,
4851,00184AAB1,AOL.GB,AOL,2002-07-05,33713.0,2002-07-05,33716.0,796,T,C,N,N,8000.0,82.0,+,9.861,,0.0,@,,S,,A,,P,D,,,S1,Y,,,,,,,,,,,,
4852,00184AAB1,AOL.GB,AOL,2002-07-05,34260.0,2002-07-05,39236.0,2708,T,C,N,N,8000.0,82.0,+,9.86,,0.0,Z,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
4853,00184AAB1,AOL.GB,AOL,2002-07-05,36266.0,2002-07-05,36284.0,1519,T,C,N,N,3000.0,86.078999,+,9.084705,,0.0,@,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
4854,00184AAB1,AOL.GB,AOL,2002-07-05,39141.0,2002-07-05,39141.0,2677,T,C,N,N,1000.0,74.0,+,11.539,,0.0,@,,B,,P,,P,C,,,S1,Y,,,,,,,,,,,,
4855,00184AAB1,AOL.GB,AOL,2002-07-05,41820.0,2002-07-05,42567.0,4301,T,C,N,N,2000.0,86.945,+,9.090986,,0.0,@,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
4856,00184AAB1,AOL.GB,AOL,2002-07-05,45960.0,2002-07-05,46150.0,6077,T,C,N,N,2000.0,86.001,+,9.099118,,0.0,@,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
5652,00184AAC9,AOL.GC,AOL,2002-07-05,35364.0,2002-07-05,35382.0,1223,T,C,N,N,1600000.0,83.808999,+,9.239037,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
5653,00184AAC9,AOL.GC,AOL,2002-07-05,37380.0,2002-07-05,44161.0,4934,T,C,N,N,5000.0,81.666,+,9.493,,0.0,Z,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
5654,00184AAC9,AOL.GC,AOL,2002-07-05,37380.0,2002-07-05,44174.0,5035,T,C,N,N,5000.0,83.898,+,9.229,,0.0,Z,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
5655,00184AAC9,AOL.GC,AOL,2002-07-05,40249.0,2002-07-05,40251.0,3105,T,C,N,Y,15000.0,89.0,+,9.046,,0.0,@,,S,,P,3.5,P,C,,,S1,Y,,,,,,,,,,,,
5656,00184AAC9,AOL.GC,AOL,2002-07-05,40999.0,2002-07-05,40999.0,3477,T,C,N,N,5000.0,81.665999,+,9.493016,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
5657,00184AAC9,AOL.GC,AOL,2002-07-05,41472.0,2002-07-05,41529.0,3843,T,C,N,N,10000.0,76.5,+,10.155661,,0.0,@,,B,,P,,P,C,,,S1,Y,,,,,,,,,,,,
5658,00184AAC9,AOL.GC,AOL,2002-07-05,43560.0,2002-07-05,54927.0,8339,T,C,N,N,1000.0,75.0,+,10.363,,0.0,Z,A,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
5659,00184AAC9,AOL.GC,AOL,2002-07-05,43980.0,2002-07-05,44048.0,4880,T,C,N,N,25000.0,83.715999,+,9.250008,,6.0,R,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
5660,00184AAC9,AOL.GC,AOL,2002-07-05,48641.0,2002-07-05,48641.0,7031,T,C,N,N,1000.0,76.9406,+,10.096117,,0.0,@,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
5661,00184AAC9,AOL.GC,AOL,2002-07-05,48900.0,2002-07-05,51262.0,7566,T,C,N,N,1000.0,75.0,+,10.363,,0.0,@,,S,,P,,A,D,,,S1,Y,,,,,,,,,,,,
6611,00184AAD7,AOL.HE,AOL,2002-07-03,0.0,2002-07-05,50194.0,7423,T,C,N,N,150000.0,94.103,+,8.0039,A,0.0,@,,B,,A,,A,C,,,S1,Y,,,,,,,,,,,,
6642,00184AAD7,AOL.HE,AOL,2002-07-03,48690.0,2002-07-05,37609.0,2037,T,C,N,N,150000.0,93.035,+,8.46,A,0.0,@,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
6643,00184AAD7,AOL.HE,AOL,2002-07-03,49007.0,2002-07-05,37687.0,2076,T,C,N,Y,150000.0,95.171,+,8.0,A,0.0,@,,S,,P,1.068,P,C,,,S1,Y,,,,,,,,,,,,
6647,00184AAD7,AOL.HE,AOL,2002-07-03,49081.0,2002-07-05,44771.0,5420,T,C,N,N,18000.0,94.943,+,7.650034,R,0.0,@,,B,,P,,P,C,,,S1,Y,,,,,,,,,,,,
6648,00184AAD7,AOL.HE,AOL,2002-07-03,49081.0,2002-07-05,44771.0,5421,T,C,N,N,18000.0,94.943,+,7.650034,A,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
6655,00184AAD7,AOL.HE,AOL,2002-07-05,33720.0,2002-07-05,35123.0,1132,T,C,N,N,5000.0,94.107,+,8.0044,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
6656,00184AAD7,AOL.HE,AOL,2002-07-05,33720.0,2002-07-05,35127.0,1133,T,C,N,N,5000.0,94.0,+,8.0493,,0.0,@,,B,,A,,A,D,,,S1,N,,,,,,,,,,,,
6657,00184AAD7,AOL.HE,AOL,2002-07-05,33808.0,2002-07-05,33830.0,839,T,C,N,N,5000.0,94.0,+,8.045667,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
6658,00184AAD7,AOL.HE,AOL,2002-07-05,37522.0,2002-07-05,37630.0,2047,T,C,N,N,20000.0,93.923,+,8.078034,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
6659,00184AAD7,AOL.HE,AOL,2002-07-05,37620.0,2002-07-05,37653.0,2059,T,C,N,N,20000.0,94.423,+,7.872,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
6660,00184AAD7,AOL.HE,AOL,2002-07-05,37620.0,2002-07-05,37655.0,2061,T,C,N,N,20000.0,93.923,+,8.0817,,0.0,@,,B,,A,,A,D,,,S1,N,,,,,,,,,,,,
6661,00184AAD7,AOL.HE,AOL,2002-07-05,40106.0,2002-07-05,40208.0,3088,T,C,N,N,10000.0,94.705,+,7.75082,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
6662,00184AAD7,AOL.HE,AOL,2002-07-05,43056.0,2002-07-05,44410.0,5199,T,C,N,N,20000.0,94.947,+,7.650231,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
6663,00184AAD7,AOL.HE,AOL,2002-07-05,44459.0,2002-07-05,44565.0,5299,T,C,N,N,2000.0,93.902619,+,8.086607,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
6664,00184AAD7,AOL.HE,AOL,2002-07-05,44520.0,2002-07-05,44586.0,5311,T,C,N,N,2000.0,96.65012,+,6.9542,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
6665,00184AAD7,AOL.HE,AOL,2002-07-05,44520.0,2002-07-05,44588.0,5317,T,C,N,N,2000.0,93.90262,+,8.0903,,0.0,@,,B,,A,,A,D,,,S1,N,,,,,,,,,,,,
6666,00184AAD7,AOL.HE,AOL,2002-07-05,49429.0,2002-07-05,49453.0,7241,T,C,N,N,10000.0,95.947,+,7.237882,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7632,00184AAE5,AOL.HF,AOL,2002-07-03,48174.0,2002-07-05,45538.0,5843,T,C,N,N,1000000.0,89.293499,+,8.929231,R,0.0,@,,B,,P,,P,D,,,S1,N,,,,,,,,,,,,
7633,00184AAE5,AOL.HF,AOL,2002-07-03,48174.0,2002-07-05,45539.0,5845,T,C,N,N,1000000.0,89.2835,+,8.932016,A,2.0,R,,B,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7634,00184AAE5,AOL.HF,AOL,2002-07-05,28431.0,2002-07-05,29579.0,158,T,C,N,N,10000.0,89.348,+,8.915,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7635,00184AAE5,AOL.HF,AOL,2002-07-05,28431.0,2002-07-05,29594.0,159,T,C,N,N,10000.0,89.723,+,8.811,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7636,00184AAE5,AOL.HF,AOL,2002-07-05,28434.0,2002-07-05,29471.0,154,T,C,N,N,3000.0,89.386,+,8.905,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7637,00184AAE5,AOL.HF,AOL,2002-07-05,28434.0,2002-07-05,29533.0,157,T,C,N,N,3000.0,89.761,+,8.801,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7638,00184AAE5,AOL.HF,AOL,2002-07-05,28438.0,2002-07-05,29292.0,134,T,C,N,N,45000.0,89.386,+,8.905,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7639,00184AAE5,AOL.HF,AOL,2002-07-05,28438.0,2002-07-05,29296.0,135,T,C,N,N,45000.0,89.761,+,8.801,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7640,00184AAE5,AOL.HF,AOL,2002-07-05,28441.0,2002-07-05,29639.0,161,T,C,N,N,1000.0,89.748,+,8.804,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7641,00184AAE5,AOL.HF,AOL,2002-07-05,28441.0,2002-07-05,29643.0,164,T,C,N,N,1000.0,89.373,+,8.908,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7642,00184AAE5,AOL.HF,AOL,2002-07-05,28504.0,2002-07-05,28889.0,57,T,C,N,N,1000.0,89.514,+,8.869,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7643,00184AAE5,AOL.HF,AOL,2002-07-05,28504.0,2002-07-05,28893.0,58,T,C,N,N,1000.0,89.139,+,8.974,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7644,00184AAE5,AOL.HF,AOL,2002-07-05,28509.0,2002-07-05,28894.0,59,T,C,N,N,1000.0,89.514,+,8.869,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7645,00184AAE5,AOL.HF,AOL,2002-07-05,28509.0,2002-07-05,28898.0,60,T,C,N,N,1000.0,89.139,+,8.974,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7646,00184AAE5,AOL.HF,AOL,2002-07-05,33586.0,2002-07-05,33588.0,754,T,C,N,Y,50000.0,92.02,+,8.287,,0.0,@,,S,,P,0.37,P,C,,,S1,Y,,,,,,,,,,,,
7647,00184AAE5,AOL.HF,AOL,2002-07-05,36932.0,2002-07-05,37915.0,2155,T,C,N,N,3000.0,89.49,+,8.876,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7648,00184AAE5,AOL.HF,AOL,2002-07-05,36932.0,2002-07-05,37916.0,2156,T,C,N,N,3000.0,89.115,+,8.98,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7649,00184AAE5,AOL.HF,AOL,2002-07-05,38742.0,2002-07-05,38768.0,2539,T,C,N,N,3000.0,89.362,+,8.912,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7650,00184AAE5,AOL.HF,AOL,2002-07-05,38742.0,2002-07-05,38770.0,2543,T,C,N,N,3000.0,88.987,+,9.016,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7651,00184AAE5,AOL.HF,AOL,2002-07-05,39371.0,2002-07-05,39892.0,2966,T,C,N,N,2000.0,89.413,+,8.897,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7652,00184AAE5,AOL.HF,AOL,2002-07-05,39371.0,2002-07-05,39896.0,2969,T,C,N,N,2000.0,89.038,+,9.002,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7653,00184AAE5,AOL.HF,AOL,2002-07-05,40075.0,2002-07-05,40103.0,3047,T,C,N,N,50000.0,89.413,+,8.897,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7654,00184AAE5,AOL.HF,AOL,2002-07-05,40075.0,2002-07-05,40107.0,3049,T,C,N,N,50000.0,89.038,+,9.002,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7655,00184AAE5,AOL.HF,AOL,2002-07-05,40638.0,2002-07-05,40641.0,3333,T,C,N,Y,7000.0,93.682,+,8.037,,0.0,@,,S,,P,1.1,P,C,,,S1,Y,,,,,,,,,,,,
7656,00184AAE5,AOL.HF,AOL,2002-07-05,41284.0,2002-07-05,41300.0,3739,T,C,N,N,30000.0,89.413,+,8.897,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7657,00184AAE5,AOL.HF,AOL,2002-07-05,41284.0,2002-07-05,41304.0,3743,T,C,N,N,30000.0,89.038,+,9.002,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7658,00184AAE5,AOL.HF,AOL,2002-07-05,42143.0,2002-07-05,42144.0,4087,T,C,N,N,25000.0,91.840699,+,8.232915,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7659,00184AAE5,AOL.HF,AOL,2002-07-05,42510.0,2002-07-05,42546.0,4291,T,C,N,N,10000.0,89.4,+,8.901,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7660,00184AAE5,AOL.HF,AOL,2002-07-05,42510.0,2002-07-05,42547.0,4292,T,C,N,N,10000.0,89.025,+,9.006,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7661,00184AAE5,AOL.HF,AOL,2002-07-05,42531.0,2002-07-05,42566.0,4300,T,C,N,N,25000.0,89.375,+,8.908,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7662,00184AAE5,AOL.HF,AOL,2002-07-05,42531.0,2002-07-05,42570.0,4306,T,C,N,N,25000.0,89.0,+,9.013,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7663,00184AAE5,AOL.HF,AOL,2002-07-05,42623.0,2002-07-05,42662.0,4343,T,C,N,N,1000.0,89.375,+,8.908,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7664,00184AAE5,AOL.HF,AOL,2002-07-05,42623.0,2002-07-05,42666.0,4347,T,C,N,N,1000.0,89.0,+,9.013,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7666,00184AAE5,AOL.HF,AOL,2002-07-05,44475.0,2002-07-05,44509.0,5265,T,C,N,N,15000.0,89.0,+,9.013,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
7667,00184AAE5,AOL.HF,AOL,2002-07-05,44475.0,2002-07-05,44513.0,5268,T,C,N,N,15000.0,89.375,+,8.908,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7668,00184AAE5,AOL.HF,AOL,2002-07-05,44616.0,2002-07-05,44618.0,5324,T,C,N,Y,30000.0,94.482,+,7.93,,0.0,@,,S,,P,1.5,P,C,,,S1,Y,,,,,,,,,,,,
7669,00184AAE5,AOL.HF,AOL,2002-07-05,45821.0,2002-07-05,45824.0,5958,T,C,N,Y,15000.0,93.682,+,8.037,,0.0,@,,S,,P,1.1,P,C,,,S1,Y,,,,,,,,,,,,
7670,00184AAE5,AOL.HF,AOL,2002-07-05,46200.0,2002-07-05,46202.0,6100,T,C,N,Y,16000.0,93.682,+,8.037,,0.0,@,,S,,P,1.1,P,C,,,S1,Y,,,,,,,,,,,,
7671,00184AAE5,AOL.HF,AOL,2002-07-05,47069.0,2002-07-05,47071.0,6437,T,C,N,N,15000.0,87.57419,+,9.415245,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7672,00184AAE5,AOL.HF,AOL,2002-07-05,48001.0,2002-07-05,48007.0,6822,T,C,N,N,11000.0,89.362,+,8.912,,0.0,@,,S,,P,,P,C,,,S1,Y,,,,,,,,,,,,
7673,00184AAE5,AOL.HF,AOL,2002-07-05,48001.0,2002-07-05,48008.0,6823,T,C,N,N,11000.0,88.987,+,9.016,,0.0,@,,S,,P,,P,D,,,S1,Y,,,,,,,,,,,,
8460,00184AAF2,AOLHG,,2002-07-02,52080.0,2002-07-05,52906.0,7953,T,C,N,N,175000.0,82.898,+,9.601,A,0.0,A,,S,,P,,A,D,,,S1,Y,,,,,,,,,,,,
